location,date,new_deaths
Belgium,2021-03-16,27.0
Belgium,2021-03-17,28.0
Belgium,2021-03-18,24.0
Belgium,2021-03-19,26.0
Belgium,2021-03-20,0.0
Belgium,2021-03-21,57.0
Belgium,2021-03-22,21.0
Belgium,2021-03-23,35.0
Belgium,2021-03-24,23.0
Belgium,2021-03-25,30.0
Belgium,2021-03-26,36.0
Belgium,2021-03-27,18.0
Belgium,2021-03-28,27.0
Belgium,2021-03-29,24.0
Belgium,2021-03-30,45.0
Belgium,2021-03-31,50.0
Belgium,2021-04-01,29.0
Belgium,2021-04-02,38.0
Belgium,2021-04-03,47.0
Belgium,2021-04-04,39.0
Belgium,2021-04-05,33.0
Belgium,2021-04-06,45.0
Belgium,2021-04-07,54.0
Belgium,2021-04-08,47.0
Belgium,2021-04-09,42.0
Belgium,2021-04-10,38.0
Belgium,2021-04-11,45.0
Belgium,2021-04-12,30.0
Belgium,2021-04-13,63.0
Belgium,2021-04-14,37.0
Belgium,2021-04-15,33.0
Belgium,2021-04-16,45.0
Belgium,2021-04-17,37.0
Belgium,2021-04-18,29.0
Belgium,2021-04-19,35.0
Belgium,2021-04-20,52.0
Belgium,2021-04-21,33.0
Belgium,2021-04-22,42.0
Belgium,2021-04-23,45.0
Belgium,2021-04-24,36.0
Belgium,2021-04-25,34.0
Belgium,2021-04-26,41.0
Belgium,2021-04-27,39.0
Belgium,2021-04-28,36.0
Belgium,2021-04-29,45.0
Belgium,2021-04-30,45.0
Belgium,2021-05-01,28.0
Belgium,2021-05-02,33.0
Belgium,2021-05-03,31.0
Belgium,2021-05-04,45.0
Belgium,2021-05-05,39.0
Belgium,2021-05-06,38.0
Belgium,2021-05-07,39.0
Belgium,2021-05-08,28.0
Belgium,2021-05-09,40.0
Belgium,2021-05-10,32.0
Belgium,2021-05-11,26.0
Belgium,2021-05-12,21.0
Belgium,2021-05-13,15.0
Belgium,2021-05-14,19.0
Belgium,2021-05-15,22.0
Belgium,2021-05-16,23.0
Belgium,2021-05-17,14.0
Belgium,2021-05-18,26.0
Belgium,2021-05-19,19.0
Belgium,2021-05-20,26.0
Belgium,2021-05-21,15.0
Belgium,2021-05-22,14.0
Belgium,2021-05-23,19.0
Belgium,2021-05-24,11.0
Belgium,2021-05-25,20.0
Belgium,2021-05-26,16.0
Belgium,2021-05-27,13.0
Belgium,2021-05-28,8.0
Belgium,2021-05-29,11.0
Belgium,2021-05-30,19.0
Belgium,2021-05-31,15.0
Belgium,2021-06-01,13.0
Belgium,2021-06-02,14.0
Belgium,2021-06-03,13.0
Belgium,2021-06-04,19.0
Belgium,2021-06-05,5.0
Belgium,2021-06-06,14.0
Belgium,2021-06-07,8.0
Belgium,2021-06-08,10.0
Belgium,2021-06-09,10.0
Belgium,2021-06-10,7.0
Belgium,2021-06-11,7.0
Belgium,2021-06-12,6.0
Belgium,2021-06-13,7.0
Belgium,2021-06-14,5.0
Belgium,2021-06-15,6.0
Belgium,2021-06-16,11.0
Belgium,2021-06-17,7.0
Belgium,2021-06-18,0.0
Belgium,2021-06-19,15.0
Belgium,2021-06-20,4.0
Belgium,2021-06-21,5.0
Belgium,2021-06-22,3.0
Belgium,2021-06-23,5.0
Belgium,2021-06-24,3.0
Belgium,2021-06-25,8.0
Belgium,2021-06-26,0.0
Belgium,2021-06-27,0.0
Belgium,2021-06-28,8.0
Belgium,2021-06-29,2.0
Belgium,2021-06-30,3.0
Belgium,2021-07-01,7.0
Belgium,2021-07-02,5.0
Belgium,2021-07-03,0.0
Belgium,2021-07-04,0.0
Belgium,2021-07-05,5.0
Belgium,2021-07-06,4.0
Belgium,2021-07-07,2.0
Belgium,2021-07-08,0.0
Belgium,2021-07-09,2.0
Belgium,2021-07-10,0.0
Bulgaria,2020-07-20,8.0
Bulgaria,2020-07-21,5.0
Bulgaria,2020-07-22,8.0
Bulgaria,2020-07-23,8.0
Bulgaria,2020-07-24,8.0
Bulgaria,2020-07-25,1.0
Bulgaria,2020-07-26,2.0
Bulgaria,2020-07-27,7.0
Bulgaria,2020-07-28,8.0
Bulgaria,2020-07-29,13.0
Bulgaria,2020-07-30,6.0
Bulgaria,2020-07-31,9.0
Bulgaria,2020-08-01,2.0
Bulgaria,2020-08-02,3.0
Bulgaria,2020-08-03,16.0
Bulgaria,2020-08-04,11.0
Bulgaria,2020-08-05,9.0
Bulgaria,2020-08-06,11.0
Bulgaria,2020-08-07,7.0
Bulgaria,2020-08-08,3.0
Bulgaria,2020-08-09,2.0
Bulgaria,2020-08-10,12.0
Bulgaria,2020-08-11,12.0
Bulgaria,2020-08-12,11.0
Bulgaria,2020-08-13,0.0
Bulgaria,2020-08-14,10.0
Bulgaria,2020-08-15,3.0
Bulgaria,2020-08-16,3.0
Bulgaria,2020-08-17,14.0
Bulgaria,2020-08-18,7.0
Bulgaria,2020-08-19,8.0
Bulgaria,2020-08-20,5.0
Bulgaria,2020-08-21,7.0
Bulgaria,2020-08-22,0.0
Bulgaria,2020-08-23,6.0
Bulgaria,2020-08-24,18.0
Bulgaria,2020-08-25,9.0
Bulgaria,2020-08-26,14.0
Bulgaria,2020-08-27,8.0
Bulgaria,2020-08-28,9.0
Bulgaria,2020-08-29,2.0
Bulgaria,2020-08-30,8.0
Bulgaria,2020-08-31,16.0
Bulgaria,2020-09-01,13.0
Bulgaria,2020-09-02,6.0
Bulgaria,2020-09-03,10.0
Bulgaria,2020-09-04,7.0
Bulgaria,2020-09-05,6.0
Bulgaria,2020-09-06,5.0
Bulgaria,2020-09-07,1.0
Bulgaria,2020-09-08,15.0
Bulgaria,2020-09-09,10.0
Bulgaria,2020-09-10,4.0
Bulgaria,2020-09-11,7.0
Bulgaria,2020-09-12,4.0
Bulgaria,2020-09-13,3.0
Bulgaria,2020-09-14,9.0
Bulgaria,2020-09-15,7.0
Bulgaria,2020-09-16,3.0
Bulgaria,2020-09-17,10.0
Bulgaria,2020-09-18,4.0
Bulgaria,2020-09-19,2.0
Bulgaria,2020-09-20,6.0
Bulgaria,2020-09-21,4.0
Bulgaria,2020-09-22,2.0
Bulgaria,2020-09-23,12.0
Bulgaria,2020-09-24,6.0
Bulgaria,2020-09-25,4.0
Bulgaria,2020-09-26,0.0
Bulgaria,2020-09-27,7.0
Bulgaria,2020-09-28,11.0
